Id,Techno,Eqpt_Mod,Act,,Act_desc,Avg_single,PS50_Plan,PS50_Act,Avg_Actual
1,1,1,DESN,1,Mise en service,0,0,0,
2,1,1,DSUB,2,Mise en service,0,0,0,
3,1,1,DESN,1,Décomission,0,0,0,
4,1,1,DSUB,2,Décomission,0,0,0,
5,1,2,DESN,1,Mise en service,0,0,0,
6,1,2,DSUB,2,Mise en service,0,0,0,
7,1,2,DESN,1,Décomission,2,0,0,2
8,1,2,DSUB,2,Décomission,0,0,0,
9,1,3,DESN,1,Mise en service,0,0,0,
10,1,3,DSUB,2,Mise en service,0,0,0,
11,1,3,DESN,1,Décomission,0,0,0,
12,1,3,DSUB,2,Décomission,0,0,0,
13,1,4,DESN,1,Mise en service,0,0,0,
14,1,4,DSUB,2,Mise en service,0,0,0,
15,1,4,DESN,1,Décomission,0,0,0,
16,1,4,DSUB,2,Décomission,0,0,0,
17,1,5,DESN,1,Mise en service,3,3,0,
18,1,5,DSUB,2,Mise en service,0,0,0,
19,1,5,DESN,1,Décomission,0,0,0,
20,1,5,DSUB,2,Décomission,0,0,0,
21,1,6,DESN,1,Décomission,0,0,0,
22,1,6,DSUB,2,Décomission,0,0,0,
23,1,7,DESN,1,Mise en service,0,0,0,
24,1,7,DSUB,2,Mise en service,0,0,0,
25,1,7,DESN,1,Ajout de carte,0,0,0,
26,1,7,DSUB,2,Ajout de carte,0,0,0,
27,1,7,DESN,1,Ajout de facilité,7.5,10,0,
28,1,7,DSUB,2,Ajout de facilité,1.5,5,0,
29,1,7,DESN,1,Enlèvement de carte,0,0,0,
30,1,7,DSUB,2,Enlèvement de carte,0,0,0,
31,1,7,DESN,1,Enlèvement de facilité,0,0,0,
32,1,7,DSUB,2,Enlèvement de facilité,0,0,0,
33,1,7,DESN,1,Décomission,10.1,6,0,8
34,1,7,DSUB,2,Décomission,8.3,8,0,9
35,1,8,DESN,1,Mise en service,8.6,10,0,
36,1,8,DSUB,2,Mise en service,10.1,22,0,
37,1,8,DESN,1,Ajout de carte,5.2,11,0,6
38,1,8,DSUB,2,Ajout de carte,7.6,14,0,
39,1,8,DESN,1,Ajout de facilité,0,0,0,
40,1,8,DSUB,2,Ajout de facilité,0,0,0,
41,1,8,DESN,1,Enlèvement de carte,3,3,0,
42,1,8,DSUB,2,Enlèvement de carte,2.5,3,0,
43,1,8,DESN,1,Enlèvement de facilité,0,0,0,
44,1,8,DSUB,2,Enlèvement de facilité,0,0,0,
45,1,8,DESN,1,Décomission,0,0,0,
46,1,8,DSUB,2,Décomission,0,0,0,
47,1,9,DESN,1,Mise en service,4.2,10,0,0
48,1,9,DSUB,2,Mise en service,12.2,21,0,
49,1,9,DESN,1,Ajout de carte,2.7,8,0,7
50,1,9,DSUB,2,Ajout de carte,2.1,6,0,1
51,1,9,DESN,1,Ajout de facilité,1.5,4,0,0
52,1,9,DSUB,2,Ajout de facilité,2.5,2,0,2
53,1,9,DESN,1,Enlèvement de carte,0,0,0,
54,1,9,DSUB,2,Enlèvement de carte,0,0,0,
55,1,9,DESN,1,Enlèvement de facilité,0,0,0,
56,1,9,DSUB,2,Enlèvement de facilité,0,0,0,
57,1,9,DESN,1,Décomission,0,0,0,
58,1,9,DSUB,2,Décomission,0,0,0,
59,1,10,DSUB,2,Mise en service,15.3,34,0,
60,1,10,DESN,1,Décomission,0,0,0,
61,1,10,DSUB,2,Décomission,0,0,0,
62,1,10,DESN,1,Mise en service,10.2,20,0,
63,1,11,DESN,1,Mise en service,17.5,16,0,26
64,1,11,DSUB,2,Mise en service,41.2,50,0,
65,1,11,DESN,1,Ajout de carte,0,0,0,
66,1,11,DSUB,2,Ajout de carte,0,0,0,
67,1,11,DESN,1,Ajout de facilité,0,0,0,
68,1,11,DSUB,2,Ajout de facilité,0,0,0,
69,1,11,DESN,1,Enlèvement de carte,0,0,0,
70,1,11,DSUB,2,Enlèvement de carte,0,0,0,
71,1,11,DESN,1,Enlèvement de facilité,0,0,0,
72,1,11,DSUB,2,Enlèvement de facilité,0,0,0,
73,1,11,DESN,1,Décomission,0,0,0,
74,1,11,DSUB,2,Décomission,0,0,0,
75,1,12,DESN,1,Mise en service,23.5,26,0,24
76,1,12,DSUB,2,Mise en service,52.5,30,0,
77,1,12,DESN,1,Ajout de carte,0,0,0,
78,1,12,DSUB,2,Ajout de carte,0,0,0,
79,1,12,DESN,1,Ajout de facilité,3,3,0,
80,1,12,DSUB,2,Ajout de facilité,3.2,5,0,
81,1,12,DESN,1,Enlèvement de carte,0,0,0,
82,1,12,DSUB,2,Enlèvement de carte,0,0,0,
83,1,12,DESN,1,Enlèvement de facilité,2.4,2,0,
84,1,12,DSUB,2,Enlèvement de facilité,2.7,8,0,
85,1,12,DESN,1,Décomission,0,0,0,
86,1,12,DSUB,2,Décomission,0,0,0,
87,1,13,DESN,1,Décomission,11.7,12,0,4
88,1,13,DPSW,3,Décomission,6,10,0,4
89,1,14,DESN,1,Bon de commande (Sans Matériel),1.8,6,0,2
90,1,14,DSUB,2,Bon de commande (Sans Matériel),4,5,0,4
91,1,14,DESN,1,Spare,3.1,6,0,4
92,1,14,DUNC,4,Spare,1,3,0,
93,1,14,SRVY,5,Site Survey,1.4,2,0,
94,1,14,DESN,1,Tools & TestSet,2.3,3,0,
95,1,15,DESN,1,Mise en service,0,0,0,
96,1,15,DSUB,2,Mise en service,10,10,0,
97,1,15,DESN,1,Décomission,0,0,0,
98,1,15,DSUB,2,Décomission,0,0,0,
99,1,16,DESN,1,Mise en service,2.5,8,0,15
100,1,16,DSUB,2,Mise en service,11.1,13,0,
101,1,16,DESN,1,Décomission,0,0,0,
102,1,16,DSUB,2,Décomission,0,0,0,
103,1,17,DESN,1,RTU / Software,4.1,5,0,2
104,1,18,DESN,1,Mise en service,0.4,3,0,0
105,1,18,DFOT,6,Mise en service,1.2,4,0,1
106,1,18,DESN,1,Décomission,0,0,0,
107,1,18,DFOT,6,Décomission,0,0,0,
108,1,19,DESN,1,Mise en service,0,0,0,
109,1,19,DSUB,2,Mise en service,0,0,0,
110,1,19,DESN,1,Décomission,0,0,0,
111,1,19,DSUB,2,Décomission,0,0,0,
112,1,20,DESN,1,Mise en service,0,0,0,
113,1,20,DSUB,2,Mise en service,0,0,0,
114,1,20,DESN,1,Décomission,1.3,1,0,
115,1,20,DSUB,2,Décomission,0,0,0,
116,1,21,DESN,1,Mise en service,2.5,4,0,0
117,1,21,DFOT,6,Mise en service,8.6,10,0,
118,1,21,DESN,1,Décomission,0,0,0,
119,1,21,DFOT,6,Décomission,7.5,11,0,
120,1,22,DESN,1,Mise en service,0,0,0,
121,1,22,DSUB,2,Mise en service,0,0,0,
122,1,22,DESN,1,Décomission,0,0,0,
123,1,22,DSUB,2,Décomission,0,0,0,
124,1,23,DESN,1,Mise en service,0,0,0,
125,1,23,DSUB,2,Mise en service,8,8,0,
126,1,23,DESN,1,Décomission,0,0,0,
127,1,23,DSUB,2,Décomission,0,0,0,
128,1,21,DESN,1,Ajout de carte,1.9,3,0,0
129,1,21,DFOT,6,Ajout de carte,3.2,4,0,0
130,10,14,DESN,1,Admin - Excluded,0,0,0,
131,10,14,DESN,1,Admin - Incomplet,4.2,5,0,3
132,2,24,DESN,1,Mise en service,0,0,0,
133,2,24,DBRD,7,Mise en service,0,0,0,
134,2,24,DESN,1,Ajout de carte,0,0,0,
135,2,24,DBRD,7,Ajout de carte,0,0,0,
136,2,24,DESN,1,Enlèvement de carte,0,0,0,
137,2,24,DBRD,7,Enlèvement de carte,0,0,0,
138,2,24,DESN,1,Décomission,2,2,0,
139,2,24,DBRD,7,Décomission,3.5,5,0,
140,2,25,DESN,1,Décomission,10.5,15,0,
141,2,25,DBRD,7,Décomission,0,0,0,
142,2,14,DESN,1,Spare,8.5,4,0,15
143,2,14,DUNC,4,Spare,3.8,4,0,
144,2,26,DESN,1,Mise en service,13,5,0,13
145,2,26,DBRD,7,Mise en service,10.3,12,0,13
146,2,26,DESN,1,Décomission,0,0,0,
147,2,26,DBRD,7,Décomission,0,0,0,0
148,2,27,DESN,1,Mise en service,0,0,0,
149,2,27,DBRD,7,Mise en service,0,0,0,
150,2,27,DESN,1,Ajout de carte,0,0,0,
151,2,27,DBRD,7,Ajout de carte,0,0,0,
152,2,27,DESN,1,Enlèvement de carte,0,0,0,
153,2,27,DBRD,7,Enlèvement de carte,0,0,0,
154,2,27,DESN,1,Décomission,0,0,0,
155,2,27,DBRD,7,Décomission,0,0,0,
156,2,28,DESN,1,Mise en service,0,0,0,
157,2,28,DBRD,7,Mise en service,0,0,0,
158,2,28,DESN,1,Ajout de carte,0,0,0,
159,2,28,DBRD,7,Ajout de carte,0,0,0,
160,2,28,DESN,1,Enlèvement de carte,0,0,0,
161,2,28,DBRD,7,Enlèvement de carte,0,0,0,
162,2,28,DESN,1,Décomission,0,0,0,
163,2,28,DBRD,7,Décomission,0,0,0,
164,2,29,DESN,1,Mise en service,0,0,0,0
165,2,29,DBRD,7,Mise en service,0,0,0,0
166,2,29,DESN,1,Décomission,3.8,2,0,0
167,2,29,DBRD,7,Décomission,5.4,10,0,0
168,3,30,DFRM,8,Mise en service,15.8,8,0,11
169,3,30,DFRM,8,Décomission,20.8,16,0,
170,3,10,DFRM,8,Mise en service,12.6,24,0,23
171,3,10,DFRM,8,Décomission,0,0,0,
172,3,31,DFRM,8,Mise en service,10.2,18,0,21
173,3,31,DFRM,8,Décomission,0,0,0,
174,4,32,DESN,1,Mise en service,2.9,3,0,3
175,4,32,DPSW,3,Mise en service,6.3,5,0,6
176,4,32,DESN,1,Décomission,0,0,0,
177,4,32,DPSW,3,Décomission,0,0,0,
178,4,33,DNWM,9,Correction Type 1 (100 +),45,1,0,
179,4,33,DNWM,9,Correction Type 2 (50 - 100),0,0,0,
180,4,33,DNWM,9,Correction Type 3 (26- 49),0,0,0,
181,4,33,DNWM,9,Correction Type 4 (1- 25),0,0,0,
182,4,34,DESN,1,Mise en service,0,0,0,
183,4,34,DPSW,3,Mise en service,0,0,0,
184,4,34,DESN,1,Décomission,5,8,0,0
185,4,34,DPSW,3,Décomission,7.7,12,0,
186,4,35,DESN,1,Mise en service,4.2,6,0,6
187,4,35,DPSW,3,Mise en service,9.5,7,0,11
188,4,35,DESN,1,Décomission,0,0,0,
189,4,35,DPSW,3,Décomission,0,0,0,
190,4,35,DESN,1,Ajout de facilité,5.7,6,0,3
191,4,35,DPSW,3,Ajout de facilité,6.7,13,0,27
192,4,36,DESN,1,Mise en service,7.7,13,0,7
193,4,36,DPSW,3,Mise en service,9,18,0,
194,4,36,DESN,1,Décomission,0,0,0,
195,4,36,DPSW,3,Décomission,0,0,0,
196,4,37,DESN,1,Mise en service,4,6,0,
197,4,37,DPSW,3,Mise en service,5.5,16,0,
198,4,37,DESN,1,Décomission,0,0,0,
199,4,37,DPSW,3,Décomission,0,0,0,
200,4,38,DESN,1,Décomission,1.9,4,0,2
201,4,38,DPSW,3,Décomission,1.4,2,0,
202,4,39,DESN,1,Mise en service,4.8,5,0,10
203,4,39,DNWM,9,Mise en service,12.5,18,0,12
204,4,39,DESN,1,Décomission,0,0,0,
205,4,39,DNWM,9,Décomission,0,0,0,
206,4,40,DESN,1,Mise en service,0,0,0,
207,4,40,DNWM,9,Mise en service,0,0,0,
208,4,40,DESN,1,Décomission,0,0,0,
209,4,40,DNWM,9,Décomission,0,0,0,
