administrative_area_level_1,administrative_area_level_2,city,latitude,longitude,sa_clli
New York,Albany County,Albany,42.65002288,-73.7521813,ALBYNYPS
New York,Montgomery County,Amsterdam,42.914091,-74.155176,ALBYNYPS
New York,Erie County,Buffalo,42.884116,-78.87762,BFLONYMP
Connecticut,Hartford County,Berlin,41.63216076,-72.72390771,HRFRCTBE
New York,Essex County,Essex,44.280991,-73.397278,ESSXNYAD
New York,Herkimer County,Herkimer,43.0261969,-74.9888668,HRKMNYBV
New York,Onondaga County,Salina,43.112473,-76.19481,LVRPNYEW
Massachusetts,Berkshire County,Florida,42.70391722,-73.12730113,ALBYNYPS
New York,Oneida County,Rome,43.137229,-75.494522,ROMENYFH
New York,Clinton County,Rouses Point,44.994771,-73.370972,RSPNNYAE
New York,Rockland County,Airmont,41.119808,-74.149223,ALBYNYPS
New York,Ulster County,Saugerties,42.07645,-73.9739,ALBYNYPS
Massachusetts,Franklin County,Shutesbury,42.42601403,-72.46605846,ALBYNYPS
Massachusetts,Hampden County,Springfield,42.1092037,-72.57764037,HRFRCTBE
New York,Saratoga County,Saratoga Springs,43.071838,-73.811112,SRSPNYEQ
New York,Monroe County,West Henrietta,43.037693,-77.718749,ALBYNYPS
New York,Westchester County,White Plains,41.0348931,-73.76719373,ALBYNYPS
New York,Washington County,Whitehall,43.549158,-73.403093,WHTHNYAK
New York,Seneca County,Waterloo,42.962396,-76.881282,WTRLNYBK
Quebec,Côte-Nord,Baie-Comeau,49.228442,-68.189718,BACUPQ
Quebec,Côte-Nord,Lamarche,49.32179107,-68.36543026,BACUPQ
Quebec,Côte-Nord,Baie-Trinité,49.424,-67.303417,BATRPQ
Quebec,Côte-Nord,Pessamit,48.949333,-68.653472,CAOAPQ
Quebec,Côte-Nord,Chute-aux-Outardes,49.126901,-68.393197,CAOAPQ
Quebec,Côte-Nord,Colombier,48.863611,-68.854278,COMBPQ
Quebec,Côte-Nord,Franquelin,49.293194,-67.895528,BACUPQ
Quebec,Côte-Nord,Forestville,48.735856,-69.094691,FSVLPQ
Quebec,Côte-Nord,Godbout,49.323583,-67.605278,GDBTPQ
Quebec,Côte-Nord,Baie-Comeau,49.2001871,-68.2642671,HTRVPQ
Quebec,Côte-Nord,Pointe-Lebel,49.180774,-68.326501,HTRVPQ
