Type de générateur,Prérequis,Procédure de déploiement,Contacts,Générateurs disponibles
(INFORMATION) Déploiement de génératrice mobile 1 phase 120/240V Arktite (Crouse-Hinds),Déterminer la génératrice disponible et sa capacité en kw. Déterminer la charge requise du site en kw go/FIRM(Sommaire des utilisation/Courant de charge). Diviser le courant de charge par la redondance. Arrondir le résultat à la hausse(Résultat) x (redondance) x (48V) x (1.1). Résultat est le kw minimum nécéssaire pour alimenter le site. Ajouter la charge en kw requise pour le HVAC.,Choisir un véhicule adapté pour le remorquage de la génératrice mobile. Arrivé sur le site - raccorder la génératrice selon la procédure fournie sur le panneau intérieur. Réperez les disjoncteurs AC des rectificateurs et des unités de climatisation si disponibles - les mettres à OFF. Transférer la charge sur URGENCE à l’aide du couteau de transfert. Remettre les disjoncteurs des rectificateurs progressivement à ON. Si la charge le permet - remettre les dijoncteurs des unités de climatisation à ON.,Procédure d’escalade MCE: 1-877-URGENCE,
(INFORMATION) Déploiement de génératrice mobile 3 phases 347/600V Arktite (Crouse-Hinds),Choisir une génératrice qui supporte ce site. Aller dans sharepoint de ERS-PQ - choisir l’item Génératrices dans les choix du haut. P.S. pour connaître l’inventaire de vos génératrices selon vos régions - choisir l’item Génératrices du côté gauche dans les choix. Pour camion génératrice - choisir l’item conducteur pour connaître la personne qui peut conduire ce genre de camion.,Sur le site brancher la génératrice avec la procédure qui est sur le paneaux intérieur et la façon de la partir. Dans le site - fermer les breakers du HVAC et rectificateur et transférer la charge sur le couteau urgence. Mettre les breakers à ON progressivement les rectificateurs si la load le permet. Mettre les breakers à ON le HVAC. P.S. Après chaque utilisation - faire le plein de FUEL pour les génératrices  et le camion aussi.,Procédure d’escalade MCE: 1-877-URGENCE,
(INFORMATION) Déploiement de génératrice sur prise extérieur d’urgence Camlock (Défaut de la génératrice fixe),S’assurer du défaut de la génératrice fixe. Déterminer la capacité requise en kw et fournir l’information.,Choisir une génératrice 230kw et plus pour supporter ce site qui est sur location HEWITT. Un coup que la génératrice extérieur est sur place - aller chercher la clé qui ouvre le boitier extérieur dans le porte document dans la salle de génératrice au sous-sol - ça prend  aussi la clé QCA3. Faire brancher le câble par l’opérateur de la génératrice HEWITT Steeve Martin dans le boitier du côté droit du central. Dans la salle electrique - aller mettre le couteau à position urgence qui est sur le mur à côté de la porte à droite dans le fond. P.S. pour brancher le câble dans le boitier extérieur - ça prends des PICTAIL 400A - si Hewitt a oublié les siens - Maxime a mis des spares dans l’armoire. Équipements d’urgence pour les immeubles dans le sous-sol.,Procédure d’escalade MCE: 1-877-URGENCE Central Sept-Iles (SPISPQXQ): 1-MAXIME ALLAIRE 1-418-965-0050 2-JOCELYN AUDET 1-581-624-4579 3-MICHEL CARON 1-418-732-7523 4-STEEVE MARTIN 1-418-960-6342/1-888-454-4514 5-DENIS LEPAGE 1-418-968-0103,
(INFORMATION) Déploiement génératrice AC 10 KW À GAZ,POUR SITE CAT. 3 STANDARD ( REMOTE )  120/240  Génératrice à gaz 7 kw et plus portative,Prendre un véhicule adapté pour charger cette génératrice. Dans le site - fermer les breakers du HVAC et rectificateur - transférer la charge sur le couteau urgence. Mettre les breakers à ON progressivement les rectificateurs. Si la load le permet - mettre les breakers à ON le HVAC. Vous avez 3 choix de câble selon la génératrice qui sera utilisé Prise génératrice 240V - utiliser le câble sur la photo A pour la prise extérieur du site. Prise génératrice 120/240 - utiliser le câble sur la photo B pour la prise extérieur du site.,Procédure d’escalade MCE: 1-877-URGENCE,
(INFORMATION) Déploiement génératrice DC,La génératrice DC doit pouvoir être placée à l’extérieur. Les câbles doivent être suffisament long pour relier la génératrice à l’ensemble de batteries. La charge DC du site doit être inférieur à 45A-consultez go/Firm (sommaire des utilisation /courant de charge).,Selectionner la tension 48v sur l’appareil. Raccorder la cable DC sur l’appareil. Insérer la clé et tourner le MOTEUR SW en position ON. Tourner la valve d’admission d’essence. Tirer la manette du CHOKE. Tirez la poignée du démarreur (panneau latéral droit) jusqu’à ce que le moteur démarre. Vérifiez que le voyant INDICATEUR DE SORTIE est vert fixe. Pendant que le moteur chauffe -> appuyez sur le bouton CHOKE. Datasheet Alpha http://broadband.alpha.com/download/outside_plant_power/Generators/dcx3000/manual.pdf,Procédure d’escalade MCE: 1-877-URGENCE,
(INFORMATION) Déploiement génératrice d’urgence ERA,,,Procédure d’escalade MCE: 1-877-URGENCE,
(INFORMATION) Déploiement génératrice sans prise extérieure (Méthode directement sur un rectificateur NEMA L5-30),Possèder un adaptateur NEMA L14-30 à L5-30. Déterminer la capacité d’un seul rectificateur go/FIRM (Sommaire des utilisations/redondance). S’assurer que la charge du site ne dépasse pas la capacité d’un rectificateur seul.,Utilliser une génératrice portative de 7 kw. Branché le cable de la génératrice vers l’adapteur NEMA du rectificateur. Vérifier la tension sur les batteries.,Procédure d’escalade MCE: 1-877-URGENCE,
(INFORMATION) Déploiement génératrice sur panneau électrique d’urgence,,,Procédure d’escalade MCE: 1-877-URGENCE,
(INFORMATION) Génératrice fixe et prise pour mobile (Camlock),,,,
(INFORMATION) Procédure d’urgence colocation Bell,,,Procédure d’escalade MCE: 1-877-URGENCE,
