administrative_area_level_1,administrative_area_level_2
New York,Albany County
New York,Montgomery County
New York,Erie County
Connecticut,Hartford County
New York,Essex County
New York,Herkimer County
New York,Onondaga County
Massachusetts,Berkshire County
New York,Oneida County
New York,Clinton County
New York,Rockland County
New York,Ulster County
Massachusetts,Franklin County
Massachusetts,Hampden County
New York,Saratoga County
New York,Monroe County
New York,Westchester County
New York,Washington County
New York,Seneca County
Quebec,Côte-Nord
Quebec,Saguenay--Lac-Saint-Jean
Quebec,Gaspésie--Îles-de-la-Madeleine
Minnesota,Douglas County
Minnesota,Wright County
Minnesota,Mahnomen County
Minnesota,Stearns County
Michigan,Calhoun County
Illinois,Cook County
Michigan,Cass County
Michigan,Shiawassee County
Michigan,Wayne County
Minnesota,Goodhue County
Wisconsin,La Crosse County
Wisconsin,Milwaukee County
Minnesota,Hennepin County
Minnesota,Marshall County
Wisconsin,Columbia County
Wisconsin,Monroe County
Indiana,Porter County
Minnesota,Otter Tail County
Illinois,Lake County
Wisconsin,Jefferson County
Quebec,Mauricie
Quebec,Capitale-Nationale
Quebec,Montérégie
Ontario,Hastings County
Ontario,Regional Municipality of Durham
Ontario,Peterborough County
Ontario,Simcoe County
Ontario,Northumberland County
Ontario,Regional Municipality of Peel
Ontario,Toronto
Ontario,Sudbury District
Ontario,Wellington County
Ontario,Regional Municipality of York
Ontario,Parry Sound District
Ontario,Nipissing District
Ontario,Regional Municipality of Halton
Ontario,Greater Sudbury
Ontario,Algoma District
Nova Scotia,Cumberland County
New Brunswick,Victoria County
New Brunswick,Queens County
Nova Scotia,Halifax Regional Municipality
New Brunswick,Madawaska County
New Brunswick,York County
New Brunswick,Westmorland County
Newfoundland and Labrador,Newfoundland and Labrador
Nova Scotia,Colchester County
California,Los Angeles County
Quebec,Chaudière-Appalaches
Quebec,Bas-Saint-Laurent
Quebec,Abitibi-Témiscamingue
Quebec,Lanaudière
Quebec,Laval
Quebec,Estrie
Quebec,Centre-du-Québec
Quebec,Montreal
Quebec,Outaouais
Quebec,Laurentides
Connecticut,New Haven County
New York,New York County
Ontario,"Stormont, Dundas and Glengarry United Counties"
Ontario,Leeds and Grenville United Counties
Ontario,Frontenac County
Ontario,Ottawa
Ontario,Lanark County
Saskatchewan,Chaplin No. 164
Saskatchewan,Gull Lake No. 139
Saskatchewan,Biggar No. 347
Saskatchewan,Estevan No. 5
Saskatchewan,Dufferin No. 190
Saskatchewan,Humboldt No. 370
Saskatchewan,N/A
Saskatchewan,Maple Creek No. 111
Saskatchewan,Langenburg No. 181
Saskatchewan,Moose Jaw No. 161
Saskatchewan,North Battleford No. 437
Saskatchewan,Hillsdale No. 440
Saskatchewan,Prince Albert No. 461
Saskatchewan,Sherwood No. 159
Saskatchewan,Edenwold No. 158
Saskatchewan,Corman Park No. 344
Saskatchewan,Orkney No. 244
Saskatchewan,Swift Current No. 137
Saskatchewan,Buffalo No. 409
Saskatchewan,Wolseley No. 155
Saskatchewan,Weyburn No. 67
Washington,King County
Ontario,Brant County
Ontario,Chatham-Kent
Ontario,Waterloo Regional Municipality
Ontario,Essex County
Ontario,Regional Municipality of Niagara
Ontario,Hamilton
Ontario,Middlesex County
Ontario,Lambton County
Ontario,Perth County
Yukon,N/A
Manitoba,N/A
Manitoba,Elton
Manitoba,Rural Municipality of Reynolds
Ontario,Kenora District
Manitoba,Emerson – Franklin
Manitoba,Headingley
