sa_clli,clli,site_name,address,phone_line,emergency_line,latitude,longitude,contact_and_site_access,other_site_information,type,sub_type,manager,plant
ALBYNYPS,ALBYNYPS,Albany,"11 N Pearl St, Albany, New York 12207",,,42.65002288,-73.7521813,"10th floor at the end of the hallway, suite key required. After hours exterior door key and FOB.",,Building,N/A,Fernand Rancourt,9536
ALBYNYPS,ALBYNYVP,Albany Pop #2,"316 N Pearl St, Albany, New York 12207",,,42.66129594,-73.74743648,"Level3 Site - Exterior door access via HID card supplied by Level3 TELUS equipment entrance XO cage.  Lockbox Combo: 2356.
CDC Cabinet is 3.01.  Combo is 0307.",,Building,N/A,Fernand Rancourt,9536
ALBYNYPS,AMSTNYCA,Amsterdam,"1043 Langley Rd, Amsterdam, NY 12010",,,42.914091,-74.155176,Gate Code: 1524 Door Code: 50268,,Building,N/A,Fernand Rancourt,9536
BFLONYMP,BFLONYMP,Buffalo,350 Main St (Main Place Tower),,,42.884116,-78.87762,"Buffalo: Go to second floor MMR and use Liberty badge, Telus cage is on the left, combo is bottom 3 left to right (II-I-V), take key from frame and use on Verizon suite 230, cage is around the corner from the meet me room card reader AR1 & AR2.  Make sure to put key back on frame when you leave, there's only one",,Building,N/A,Fernand Rancourt,9536
HRFRCTBE,BRLNCT01,Berlin,261 Beckley Rd.,,,41.63216076,-72.72390771,Crown Castle Lockboxes: 1357. Cabinet combo is 573,,Building,N/A,Fernand Rancourt,9536
ESSXNYAD,ESSXNYAD,Essex,1854 SR-22,,,44.280991,-73.397278,"Gate Combo: 1997 Door Combo: 5,1,2, then 3&4 at the same time  Cage Combo:1997. Behind Town of Essex Highway Dept. garage to the right - Use building entrance to the far left

",,Building,N/A,Fernand Rancourt,9536
HRKMNYBV,HRKMNYBV,Herkimer,2440 New York 5S,,,43.0261969,-74.9888668,Gate Code: 1524 Door Code: 50268,,Building,N/A,Fernand Rancourt,9536
LVRPNYEW,LVRPNYEW,Liverpool,1067 Vine St,,,43.112473,-76.19481,Gate Code: 5150 Door Code: 50268,,Building,N/A,Fernand Rancourt,9536
ALBYNYPS,NADMMAMA,North Adams,367 Massachusetts Ave.,,,42.70391722,-73.12730113,Crown Castle Lock Box: 1357. Cabinet requires “258” key. Key is stored on lockbox on site cage. Combo is 2356.,,Building,N/A,Fernand Rancourt,9536
ROMENYFH,ROMENYFH,Rome,5908 Lowell Rd,,,43.137229,-75.494522,Gate Code: 5150 Door Code: 50268,,Building,N/A,Fernand Rancourt,9536
