,,,,,Query Technical Name,ZPS50,,Status of Data,2020-11-18 03:21:29,,,,,,Project,,,Project Manager- PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS50-Network Plan vs Actual Hours,,,,,InfoProvider,ZPS_01C,,Last Refreshed,2020-11-18 14:37:35,,,,,,Program Position,,,Project Notify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Program Definition,,,Project Notify2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRNAM-WBS,,,,,,Proj Mgr-WBS,,,Loc-WBS,,,,,,Plant-WBS,,,PFC Clerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSID-WBS,,,,,,Applicant-PROJ,,,Plant-ACTY,,,,,,Comp Code-WBS,,,WBS Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPR YR-WBS,,,,,,Person Resp-PROJ,,,Work Center-ACTY,,,PS NTWK Actvty Work Center Range,Not assigned/DSTRENG,,Approval Year,,,WBS Element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-WBS,,,PS WBS Region Range,Empty Demarcation,,Applicant-WBS,,,CO Area-ACTY,,,,,,Functional Location,,,Bud.Cat-WBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PU-WBS,,,PS WBS Planning Unit,Empty Demarcation,,Person Resp-WBS,,,Activity Type-ACTY,,,PS NTWK Actvty Type(Range),Empty Demarcation,,Prime Planner,,,WBS Project Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project ID,,,PS Project Range,Empty Demarcation,,WBS Element ID,,,Cost element,,,Cost elements,Empty Demarcation,,Planning Manager- PF,,,IC-WBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network,,,PS Network Range,Empty Demarcation,,PjType-WBS,,,Version,,,PS Plan Vers (x),0,,Planner,,,HPP-WBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
